text,emotion
That really pissed me off. This is completely unacceptable. I'm furious about what happened.,anger
I'm scared of what will happen. I'm terrified right now. I'm scared of what will happen.,fear
This situation makes me nervous.,fear
This is completely unacceptable. This is completely unacceptable.,anger
I adore everything about you. I love you so much.,love
That's so unexpected.,surprise
This gives me anxiety.,fear
I have a bad feeling.,fear
That really pissed me off.,anger
I feel so close to you. I love you so much. My heart is full of love.,love
I'm so angry right now. That really pissed me off.,anger
I have a bad feeling.,fear
I just want to cry.,sadness
This is completely unacceptable.,anger
This makes me feel hopeless. I just want to cry. This makes me feel hopeless.,sadness
I feel so close to you. My heart is full of love. My heart is full of love.,love
This situation makes me nervous.,fear
Everything seems so gloomy.,sadness
That really pissed me off. I'm so angry right now.,anger
This makes me really happy. I can't stop smiling. Life is wonderful.,joy
I'm feeling down today.,sadness
My heart is full of love. My heart is full of love.,love
What a surprise!,surprise
This gives me anxiety.,fear
"Wow, I didn't expect that! That's so unexpected. What a surprise!",surprise
This situation makes me nervous.,fear
I'm so angry right now. I can't believe they did that. I can't believe they did that.,anger
I'm scared of what will happen.,fear
I'm feeling down today. This makes me feel hopeless.,sadness
I'm furious about what happened. This is completely unacceptable. This is completely unacceptable.,anger
This makes me feel hopeless.,sadness
Everything seems so gloomy. Everything seems so gloomy.,sadness
I'm feeling down today. This makes me feel hopeless. Everything seems so gloomy.,sadness
Everything seems so gloomy. Everything seems so gloomy. I miss the good old days.,sadness
You're the best thing in my life. I feel so close to you. I love you so much.,love
I can't believe it! That's so unexpected. What a surprise!,surprise
I'm feeling amazing today!,joy
What a beautiful day!,joy
What a beautiful day!,joy
That's so unexpected. I can't believe it!,surprise
I'm feeling amazing today! What a beautiful day!,joy
I'm scared of what will happen. I'm scared of what will happen.,fear
I miss the good old days.,sadness
I have a bad feeling. I'm terrified right now.,fear
I love you so much. I adore everything about you.,love
I'm feeling down today.,sadness
This makes me feel hopeless. I just want to cry.,sadness
My heart is full of love. I love you so much. My heart is full of love.,love
I'm furious about what happened. I can't believe they did that. I can't believe they did that.,anger
I'm terrified right now.,fear
I have a bad feeling.,fear
This makes me really happy. What a beautiful day! What a beautiful day!,joy
This gives me anxiety. This situation makes me nervous.,fear
I'm terrified right now.,fear
I adore everything about you. You're the best thing in my life. My heart is full of love.,love
I love you so much.,love
"What a surprise! Wow, I didn't expect that! That's so unexpected.",surprise
"Wow, I didn't expect that!",surprise
I love you so much. I love you so much.,love
I adore everything about you.,love
I just want to cry. I'm feeling down today. Everything seems so gloomy.,sadness
I can't believe it! I can't believe it! What a surprise!,surprise
This gives me anxiety. This situation makes me nervous.,fear
I'm so angry right now. I'm so angry right now.,anger
I'm terrified right now. I'm scared of what will happen.,fear
I'm terrified right now. I'm scared of what will happen.,fear
This makes me feel hopeless. I'm feeling down today. This makes me feel hopeless.,sadness
What a surprise!,surprise
I'm feeling down today.,sadness
This makes me feel hopeless. I'm feeling down today. I miss the good old days.,sadness
What a beautiful day! This makes me really happy. Life is wonderful.,joy
Life is wonderful. I'm feeling amazing today! I can't stop smiling.,joy
What a beautiful day! Life is wonderful. This makes me really happy.,joy
I can't believe they did that. I'm furious about what happened.,anger
This makes me really happy.,joy
My heart is full of love.,love
That really pissed me off.,anger
I'm feeling down today. This makes me feel hopeless. This makes me feel hopeless.,sadness
That's so unexpected. What a surprise!,surprise
That really pissed me off. I'm furious about what happened. I'm furious about what happened.,anger
I love you so much. My heart is full of love. I feel so close to you.,love
I'm so angry right now. I'm furious about what happened. This is completely unacceptable.,anger
I'm feeling down today. I just want to cry. I'm feeling down today.,sadness
"Wow, I didn't expect that! What a surprise!",surprise
I just want to cry. Everything seems so gloomy. This makes me feel hopeless.,sadness
"Wow, I didn't expect that!",surprise
I have a bad feeling. This gives me anxiety.,fear
I love you so much. You're the best thing in my life. You're the best thing in my life.,love
I'm furious about what happened. I can't believe they did that.,anger
That's so unexpected. What a surprise! I can't believe it!,surprise
I'm feeling down today. Everything seems so gloomy.,sadness
This gives me anxiety. This gives me anxiety.,fear
"Wow, I didn't expect that!",surprise
What a beautiful day! This makes me really happy.,joy
This makes me feel hopeless. I miss the good old days.,sadness
This makes me feel hopeless. I miss the good old days. I'm feeling down today.,sadness
I'm so angry right now.,anger
I'm feeling down today.,sadness
Life is wonderful. This makes me really happy. This makes me really happy.,joy
I'm feeling down today.,sadness
What a beautiful day! I'm feeling amazing today! I'm feeling amazing today!,joy
I'm feeling down today. I miss the good old days. Everything seems so gloomy.,sadness
That really shocked me. I can't believe it! I can't believe it!,surprise
This makes me really happy. This makes me really happy. What a beautiful day!,joy
My heart is full of love. You're the best thing in my life. I love you so much.,love
This gives me anxiety.,fear
This makes me feel hopeless.,sadness
This makes me feel hopeless. I'm feeling down today.,sadness
This gives me anxiety. I have a bad feeling. I'm scared of what will happen.,fear
I love you so much. I feel so close to you. You're the best thing in my life.,love
I can't stop smiling. I can't stop smiling.,joy
This gives me anxiety.,fear
"Wow, I didn't expect that!",surprise
I have a bad feeling. I'm scared of what will happen. I have a bad feeling.,fear
You're the best thing in my life. My heart is full of love. I love you so much.,love
I'm furious about what happened.,anger
I'm scared of what will happen. I have a bad feeling.,fear
This makes me really happy. This makes me really happy.,joy
I feel so close to you. My heart is full of love.,love
This is completely unacceptable. This is completely unacceptable. I'm so angry right now.,anger
I feel so close to you. You're the best thing in my life. My heart is full of love.,love
I miss the good old days.,sadness
This makes me feel hopeless.,sadness
I adore everything about you. You're the best thing in my life. I adore everything about you.,love
What a beautiful day!,joy
I can't stop smiling. I'm feeling amazing today! This makes me really happy.,joy
"Wow, I didn't expect that! Wow, I didn't expect that!",surprise
I can't believe they did that. That really pissed me off.,anger
I'm feeling amazing today!,joy
This makes me feel hopeless.,sadness
What a surprise!,surprise
This gives me anxiety.,fear
"Wow, I didn't expect that! Wow, I didn't expect that!",surprise
Life is wonderful.,joy
What a beautiful day! I'm feeling amazing today! Life is wonderful.,joy
That really shocked me. That really shocked me. What a surprise!,surprise
My heart is full of love.,love
Everything seems so gloomy.,sadness
I'm so angry right now.,anger
I have a bad feeling. This situation makes me nervous. I have a bad feeling.,fear
I adore everything about you. You're the best thing in my life. I adore everything about you.,love
I can't believe it! That really shocked me.,surprise
I'm so angry right now. That really pissed me off.,anger
That really pissed me off. I'm furious about what happened. This is completely unacceptable.,anger
I can't stop smiling.,joy
This situation makes me nervous. This situation makes me nervous. This situation makes me nervous.,fear
This is completely unacceptable. This is completely unacceptable.,anger
That really shocked me. That really shocked me.,surprise
My heart is full of love.,love
My heart is full of love.,love
This makes me feel hopeless. Everything seems so gloomy.,sadness
I'm furious about what happened. I'm so angry right now.,anger
What a surprise! What a surprise!,surprise
I have a bad feeling. I'm scared of what will happen.,fear
"What a surprise! That's so unexpected. Wow, I didn't expect that!",surprise
This gives me anxiety. This gives me anxiety. This gives me anxiety.,fear
My heart is full of love. I love you so much.,love
You're the best thing in my life.,love
You're the best thing in my life.,love
